direction,seed,CHANNEL_SPECIFIC_MULTISCALE,UNIFORM_SCALE,G_MS
Rod_1_to_Rod_2,0,0.016977599798802902,0.017058214728832174,0.004725871453184071
Rod_1_to_Rod_2,1,0.01697668546487222,0.017058214728832174,0.004779472251697731
Rod_1_to_Rod_2,2,0.01692387998313093,0.017058214728832174,0.007875076485828735
Rod_1_to_Rod_2,3,0.01721794838499711,0.017058214728832174,-0.00936403127198016
Rod_1_to_Rod_2,4,0.01699553825865779,0.017058214728832174,0.003674269035225943
Rod_1_to_Rod_2,5,0.01693935489409906,0.017058214728832174,0.006967894156720595
Rod_1_to_Rod_2,6,0.017198537267500463,0.017058214728832174,-0.008226097566418398
Rod_1_to_Rod_2,7,0.016967919418414974,0.017058214728832174,0.0052933622804372605
Rod_1_to_Rod_2,8,0.01675914943698718,0.017058214728832174,0.017532039348731314
Rod_1_to_Rod_2,9,0.017294034253755624,0.017058214728832174,-0.01382439655451533
Rod_2_to_Rod_1,0,0.016027160405923554,0.016170906143781597,0.008889157885151605
Rod_2_to_Rod_1,1,0.016048455214111267,0.016170906143781597,0.00757229858250198
Rod_2_to_Rod_1,2,0.016117884685703188,0.016170906143781597,0.00327881799615774
Rod_2_to_Rod_1,3,0.01611543129704787,0.016170906143781597,0.0034305342100486138
Rod_2_to_Rod_1,4,0.016112783947177304,0.016170906143781597,0.0035942448795080705
Rod_2_to_Rod_1,5,0.01613581804366681,0.016170906143781597,0.0021698289386386646
Rod_2_to_Rod_1,6,0.016121636312015873,0.016170906143781597,0.0030468194749043
Rod_2_to_Rod_1,7,0.016152643329045098,0.016170906143781597,0.0011293624843355717
Rod_2_to_Rod_1,8,0.016189421781254494,0.016170906143781597,-0.001144996904209826
Rod_2_to_Rod_1,9,0.016140902985499313,0.016170906143781597,0.0018553789141755224

