epoch,train_mse,validation_rmse,learning_rate,external_support
1,0.33445261637369794,0.5613535408738084,0.003,[]
5,0.334337880452474,0.5612614946101605,0.003,[]
10,0.3340189005533854,0.5614833477536867,0.003,[]
15,0.3336270345052083,0.5610835845204878,0.003,[]
20,0.33331102498372395,0.5607591333755185,0.003,[]
25,0.33302913411458335,0.5608496296948998,0.003,[]
30,0.3327505798339844,0.560333664808718,0.003,[]
35,0.3324640909830729,0.5603091558217269,0.003,[]
40,0.33217853800455727,0.5600992877679841,0.003,[]
45,0.3319052530924479,0.5598120455717146,0.003,[]
50,0.33163663736979165,0.5597186008248922,0.003,[]
55,0.3313692118326823,0.5595199925563987,0.003,[]
60,0.33110858154296874,0.5592975788775428,0.003,[]
65,0.3308517049153646,0.559149635991733,0.003,[]
70,0.3305994873046875,0.5590034282217524,0.003,[]
75,0.33035198974609375,0.5588201027401953,0.003,[]
80,0.3301090901692708,0.5586455668711295,0.003,[]
85,0.32987082926432293,0.5584958666423957,0.003,[]
90,0.32963735961914065,0.558347765987474,0.003,[]
95,0.3294085286458333,0.5581939128438589,0.003,[]
100,0.3291844685872396,0.5580381579187569,0.003,[]
105,0.32896514892578127,0.5578876656289664,0.003,[]
110,0.32875057983398437,0.5577449024605273,0.003,[]
115,0.3285407511393229,0.5576060706531959,0.003,[]
120,0.32833570353190106,0.5574702425143987,0.003,[]
125,0.32813538614908855,0.5573372012160815,0.003,[]
130,0.3279397888183594,0.5572071404453475,0.003,[]
135,0.32774894205729166,0.5570808566182712,0.003,[]
140,0.3275627950032552,0.5569588180467206,0.003,[]
145,0.3273813273111979,0.556840835704956,0.003,[]
150,0.32720454915364583,0.5567262269705595,0.003,[]
155,0.3270323893229167,0.5566153228898583,0.003,[]
160,0.3268648376464844,0.5565080708400879,0.003,[]
165,0.3267018534342448,0.5564042535417707,0.003,[]
170,0.32654340616861977,0.556303982633371,0.003,[]
175,0.3263894449869792,0.5562073149001526,0.003,[]
180,0.32623990885416665,0.5561142522211039,0.003,[]
185,0.32609476725260417,0.5560243573239395,0.003,[]
190,0.3259539998372396,0.55593752195756,0.003,[]
195,0.32581748453776044,0.5558541867730467,0.003,[]
200,0.32568524169921875,0.5557741886148265,0.003,[]
205,0.32555712890625,0.5556970346654169,0.003,[]
210,0.32543316650390625,0.5556233302843303,0.003,[]
215,0.3253132527669271,0.5555527472531018,0.003,[]
220,0.32519732666015627,0.5554847373754127,0.003,[]
225,0.32508530680338543,0.5554198785199159,0.003,[]
230,0.32497715250651044,0.5553580618882712,0.003,[]
235,0.324872792561849,0.5552991236254733,0.003,[]
240,0.3247721150716146,0.5552430096855677,0.003,[]
245,0.32467508951822915,0.5551897484088492,0.003,[]
250,0.32458160400390623,0.5551392856435615,0.003,[]
255,0.3244915974934896,0.5550915671753794,0.003,[]
260,0.3244049479166667,0.5550465937121012,0.003,[]
265,0.32432162475585935,0.5550039810175351,0.003,[]
270,0.3242415059407552,0.554963537169687,0.003,[]
275,0.3241644795735677,0.5549262525344725,0.003,[]
280,0.3240904744466146,0.5548905328242398,0.003,[]
285,0.3240194396972656,0.5548578083617459,0.003,[]
290,0.32395123291015626,0.5548272821232579,0.003,[]
295,0.32388578287760417,0.5547988719617931,0.003,[]
300,0.323822998046875,0.5547726607161937,0.003,[]
305,0.3237627970377604,0.5547477960186051,0.003,[]
310,0.32370511881510416,0.5547249107102546,0.003,[]
315,0.3236498006184896,0.5547046652273622,0.003,[]
320,0.3235968322753906,0.5546854093270459,0.003,[]
325,0.32354608154296877,0.554667858367031,0.003,[]
330,0.32349749755859375,0.5546517098928925,0.003,[]
335,0.3234509989420573,0.554637431719193,0.003,[]
340,0.3234064737955729,0.5546250515022796,0.003,[]
345,0.3233638712565104,0.5546134963838274,0.003,[]
350,0.3233230997721354,0.5546026563633756,0.003,[]
355,0.3232840881347656,0.5545929166719101,0.003,[]
360,0.3232467346191406,0.5545846625621905,0.003,[]
365,0.32321102905273436,0.5545775089010608,0.003,[]
370,0.32317681884765626,0.5545714282165469,0.003,[]
375,0.32314412434895834,0.5545652924356327,0.003,[]
380,0.32311278279622396,0.5545606148888844,0.003,[]
385,0.323082763671875,0.5545569828841983,0.003,[]
390,0.32305403645833336,0.5545543414113039,0.003,[]
395,0.32302646891276043,0.5545511496147695,0.003,[]
400,0.3230001017252604,0.5545499389285198,0.003,[]
405,0.3229747823079427,0.5545488107866808,0.003,[]
410,0.3229505004882812,0.5545475725795815,0.003,[]
415,0.32292716471354166,0.554547297422073,0.003,[]
420,0.3229047648111979,0.5545473524535856,0.003,[]
425,0.32288319905598956,0.554548067862753,0.003,[]
430,0.3228625081380208,0.5545477376740212,0.003,[]
435,0.3228425903320313,0.55454947116267,0.003,[]
440,0.32282340494791667,0.5545499664441457,0.003,[]
445,0.3228049723307292,0.5545524153293864,0.003,[]
450,0.32278719075520834,0.554553515948444,0.003,[]
455,0.3227701212565104,0.554555304449754,0.003,[]
460,0.322753662109375,0.5545573680979442,0.003,[]
465,0.32273783365885417,0.5545592941626598,0.003,[]
470,0.32272263590494793,0.5545617154916687,0.003,[]
475,0.32270806884765624,0.5545637516010614,0.003,[]
480,0.32269407145182294,0.5545657877029785,0.003,[]
485,0.3226806640625,0.5545683190625051,0.003,[]
490,0.3226678466796875,0.5545712906437278,0.003,[]
495,0.3226555887858073,0.5545729690297893,0.003,[]
500,0.32264390055338543,0.5545757204713601,0.003,[]
505,0.3226326904296875,0.5545786094703178,0.003,[]
510,0.3226220499674479,0.5545809206586482,0.003,[]
515,0.32261185709635415,0.5545841122838413,0.003,[]
520,0.3226021728515625,0.5545871388080056,0.003,[]
525,0.3225929158528646,0.5545903303974137,0.003,[]
530,0.32258404541015623,0.5545930267258765,0.003,[]
535,0.32257554117838544,0.5545973738400791,0.003,[]
540,0.32256740315755206,0.5545997950028358,0.003,[]
545,0.3225595499674479,0.5546040870381096,0.003,[]
550,0.32255192057291665,0.5546074986321972,0.003,[]
555,0.3225445658365885,0.5546126710090115,0.003,[]
560,0.322537353515625,0.5546165227476436,0.003,[]
565,0.3225302734375,0.5546222727933992,0.003,[]
570,0.32252324422200523,0.5546280227795416,0.003,[]
575,0.3225162150065104,0.5546341853779334,0.003,[]
580,0.3225090942382812,0.5546402928855669,0.003,[]
585,0.32250184122721354,0.5546467854775912,0.003,[]
590,0.32249436442057294,0.5546538832242872,0.003,[]
595,0.322486572265625,0.5546596328827341,0.003,[]
600,0.3224783935546875,0.5546659601891738,0.003,[]
605,0.3224697469075521,0.5546704992993307,0.003,[]
610,0.3224604899088542,0.5546766614257974,0.003,[]
615,0.3224505411783854,0.5546803476651553,0.003,[]
620,0.3224398396809896,0.5546841439159035,0.003,[]
625,0.3224282430013021,0.5546863996467959,0.003,[]
630,0.3224156290690104,0.5546882977547081,0.003,[]
635,0.32240201822916664,0.5546906359946563,0.003,[]
640,0.322387451171875,0.5546924515624063,0.003,[]
645,0.32237203979492185,0.554692479070963,0.003,[]
650,0.3223558146158854,0.5546954774954509,0.003,[]
655,0.32233887736002603,0.5547022445223428,0.003,[]
660,0.32232136027018227,0.5547124224154631,0.003,[]
665,0.32230332438151044,0.5547262310421691,0.003,[]
670,0.32228497314453125,0.5547454855255133,0.003,[]
675,0.3222667643229167,0.5547713955040682,0.003,[]
680,0.32224910481770835,0.5548009897103588,0.003,[]
685,0.32223202514648436,0.5548327824704541,0.003,[]
690,0.3222152099609375,0.5548686708973208,0.003,[]
695,0.32219850667317707,0.5549138237660336,0.003,[]
700,0.322182139078776,0.5549692836200205,0.003,[]
705,0.3221665852864583,0.555028036973063,0.003,[]
710,0.3221520080566406,0.5550845574926372,0.003,[]
715,0.32213767496744794,0.5551265867743591,0.003,[]
720,0.3221232299804688,0.5551609720018009,0.003,[]
725,0.32210883585611977,0.5551954375505558,0.003,[]
730,0.3220943603515625,0.5552365240654202,0.003,[]
735,0.32207966105143226,0.5552817294601593,0.003,[]
740,0.32206484985351563,0.5553254474081505,0.003,[]
745,0.322050048828125,0.5553635844539143,0.003,[]
750,0.3220354410807292,0.5553967186945911,0.003,[]
755,0.3220211181640625,0.5554265543044935,0.003,[]
760,0.32200714111328127,0.5554551521278659,0.003,[]
765,0.32199357096354164,0.5554826497030252,0.003,[]
770,0.3219803670247396,0.555510173385128,0.003,[]
775,0.321967529296875,0.5555369815688466,0.003,[]
780,0.3219549763997396,0.5555643926977266,0.0015,[]
785,0.32194753011067706,0.5555783449373106,0.0015,[]
790,0.32194143676757814,0.5555925165385093,0.0015,[]
795,0.32193534342447916,0.555605616708794,0.0015,[]
800,0.3219293212890625,0.5556184968685798,0.0015,[]
805,0.32192335001627603,0.5556317337366147,0.0015,[]
810,0.3219173787434896,0.555645684285268,0.0015,[]
815,0.32191143798828126,0.5556597168656962,0.0015,[]
820,0.32190552775065107,0.555672815451711,0.0015,[]
825,0.321899658203125,0.5556869297249913,0.0015,[]
830,0.3218938191731771,0.5556998629174604,0.0015,[]
835,0.32188800048828126,0.5557129330991604,0.0015,[]
840,0.32188221232096353,0.5557261402604253,0.0015,[]
845,0.32187647501627603,0.5557396216751235,0.0015,[]
850,0.32187074788411457,0.555752938026422,0.0015,[]
855,0.32186505126953124,0.555766281514063,0.0015,[]
860,0.3218593953450521,0.5557792952242824,0.0015,[]
865,0.321853759765625,0.5557927204414458,0.0015,[]
870,0.3218481648763021,0.5558065296823167,0.0015,[]
875,0.3218426106770833,0.5558203111273631,0.0015,[]
880,0.32183706665039064,0.5558333510246827,0.0015,[]
885,0.32183158365885417,0.5558461435529929,0.0015,[]
890,0.32182613118489584,0.5558598416635427,0.0015,[]
895,0.3218207194010417,0.5558746648898528,0.0015,[]
900,0.3218153889973958,0.5558879505567815,0.0015,[]
905,0.3218100992838542,0.555901071213721,0.0015,[]
910,0.32180489095052084,0.5559151247956494,0.0015,[]
915,0.3217997233072917,0.5559291231275856,0.0015,[]
